model,sku,slug,color,image_url,release_date,release_date_year,discount_tag,box_condition,goat_url,model_sub_line,model_line,brand,description,story,prelude,ftb,gs,ps
Kobe 8 Protro 'Halo',FJ9364 100,kobe-8-protro-triple-white-fj9364-100,White,https://image.goat.com/750/attachments/product_template_pictures/images/092/345/652/original/1223929_00.png.png,2023-08-23,2023,under_retail,good_condition,https://www.goat.com/sneakers/kobe-8-protro-triple-white-fj9364-100,Nike - Zoom Kobe 8 Protro,Nike - Zoom Kobe 8,Nike,Shop the Kobe 8 Protro 'Halo' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Kobe 8 Protro 'Halo,' also known as the 'Triple White,' brings back a retooled version of Kobe Bryant's eighth signature shoe in a blank-slate finish.. Designed by Eric Avar, the low-top features an all-white engineered mesh upper with tonal embroidered Swoosh branding. Kobe Bryant’s signature is etched on the external heel counter, while the athlete’s personal logo decorates the tongue. Performance benefits include a drop-in React midsole and carbon fiber shank. Underfoot, a herringbone-tread outsole delivers stop-and-go traction.",N,N,N,N
Zoom Kobe 6 Protro 'Grinch',CW2190 300,zoom-kobe-6-protro-grinch-cw2190-300,Green,https://image.goat.com/750/attachments/product_template_pictures/images/050/505/599/original/631511_00.png.png,2020-12-24,2020,,good_condition,https://www.goat.com/sneakers/zoom-kobe-6-protro-grinch-cw2190-300,Nike - Zoom Kobe 6 Protro,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 Protro 'Grinch' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Zoom Kobe 6 Protro ‘Grinch’ brings back a beloved colorway initially released in 2010 as part of the Nike Basketball Christmas Day Collection. Updated with contemporary Zoom Air cushioning technology, the sneaker features the eye-catching aesthetic of the original, highlighted by a vibrant green finish on the upper. Polyurethane ‘islands’ cover the synthetic upper, mimicking the texture of snakeskin while also providing added durability.",N,N,N,N
Zoom Kobe 6 Protro 'Mambacita Sweet Sixteen',CW2190 002,zoom-kobe-6-protro-mamba-forever-cw2190-002,Black,https://image.goat.com/750/attachments/product_template_pictures/images/071/658/139/original/773881_00.png.png,2022-05-01,2022,,good_condition,https://www.goat.com/sneakers/zoom-kobe-6-protro-mamba-forever-cw2190-002,Nike - Zoom Kobe 6 Protro,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 Protro 'Mambacita Sweet Sixteen' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Kobe 6 Protro 'Mambacita Sweet Sixteen' pays tribute to Kobe Bryant and his daughter Gigi. Black snake scales on the upper reference Bryant's Black Mamba alter ego. Notes of white appear on the Swoosh, tongue logo and leather back panels. The heel mold swaps out the traditional Kobe signature for the Mamba & Mambacita Sports Foundation crest, with ""Kobe"" and ""Gigi"" inscribed on the left and right shoe, respectively. A gilded ""2"" on the lateral window represents Gigi's AAU uniform number. The insoles further honor Gigi with a design that features angel wings, a halo, the nickname ""Mambacita"" and another ""2.""

GOAT is donating net proceeds on the sale of this item to organizations providing under-resourced communities with footwear.",N,N,N,N
Undefeated x Zoom Kobe 5 Protro 'Hall Of Fame',DA6809 700,undefeated-x-zoom-kobe-5-protro-hall-of-fame-da6809-700,Gold,https://image.goat.com/750/attachments/product_template_pictures/images/049/464/699/original/672346_00.png.png,2021-05-12,2021,,good_condition,https://www.goat.com/sneakers/undefeated-x-zoom-kobe-5-protro-hall-of-fame-da6809-700,Nike - Zoom Kobe 5 Protro,Nike - Zoom Kobe 5,Nike,Shop the Undefeated x Zoom Kobe 5 Protro 'Hall Of Fame' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Undefeated x Nike Zoom Kobe 5 Protro ‘Hall of Fame’ celebrates Kobe Bryant’s induction into the Naismith Memorial Basketball Hall of Fame. As a nod to the Mamba’s championship pedigree, a metallic gold finish coats the upper, crafted from breathable mesh with snakeskin-textured leather overlays. Each shoe is accented with a purple Swoosh on the right side panel and a mismatched pink Swoosh on the left. Specific to the left shoe, the pink Swoosh is inscribed with the numbers 24, 10 and 8, representing the jersey numbers that Kobe wore with the Lakers and Team USA. Additional mismatched branding lands on the tongue and heel, both featuring Kobe’s personal trademark and Undefeated’s Five Strikes logo.",N,N,N,N
Zoom Kobe 6 Protro 'All Star',DH9888 600,zoom-kobe-6-protro-all-star-dh9888-600,Red,https://image.goat.com/750/attachments/product_template_pictures/images/050/195/329/original/630772_00.png.png,2021-03-15,2021,,good_condition,https://www.goat.com/sneakers/zoom-kobe-6-protro-all-star-dh9888-600,Nike - Zoom Kobe 6 Protro,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 Protro 'All Star' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Zoom Kobe 6 Protro ‘All Star’ brings back a special-edition colorway that the Mamba himself wore at the 2011 NBA All-Star Game. This updated version of the classic low-top features revised tooling, highlighted by a full-length Cushlon midsole with a large Air Zoom Turbo unit in the forefoot. Up top, polyurethane scales improve the durability of the micro-mesh build, finished in a gradient blend of red and black. Kobe’s signature is printed on the molded heel counter, while his personal logo adorns the tongue.",N,N,N,N
Zoom Kobe 6 Protro 'Reverse Grinch',FV4921 600,zoom-kobe-6-protro-reverse-grinch-fv4921-600,Red,https://image.goat.com/750/attachments/product_template_pictures/images/094/562/515/original/FV4921_600.png.png,2023-12-16,2023,,good_condition,https://www.goat.com/sneakers/zoom-kobe-6-protro-reverse-grinch-fv4921-600,Nike - Zoom Kobe 6 Protro,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 Protro 'Reverse Grinch' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Zoom Kobe 6 Protro ‘Reverse Grinch’ delivers a color-flipped version of the iconic ‘Grinch’ colorway from 2010. A bright crimson hue is executed on the scaly micro-mesh upper, secured with neon green laces and accented with a contrasting black Swoosh. A padded low-cut collar allows for a full range of motion, while a molded TPU heel counter provides rearfoot stability. The sneaker sits on a lightweight Cushlon midsole with a springy Zoom Air unit nestled in the forefoot.",N,N,N,N
Kobe 11 'Fundamental',836183 100,kobe-11-em-836183-100,White,https://image.goat.com/750/attachments/product_template_pictures/images/001/188/043/original/836183_100.png,2016-09-24,2016,,good_condition,https://www.goat.com/sneakers/kobe-11-em-836183-100,Nike - Kobe 11,Nike - Kobe 11,Nike,Shop the Kobe 11 'Fundamental' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Kobe 11 EM Low ‘Fundamental’ showcases an understated colorway, featuring a white Engineered Mesh upper accented by Cool Grey Flywire technology and a black Swoosh. Underfoot, the low-profile sneaker comes with a full-length drop-in Lunarlon midsole, dense foam at the heel and an icy blue translucent outsole.",N,N,N,N
Zoom Kobe 5 Protro ‘Bruce Lee’,CD4991 700,zoom-kobe-5-protro-alternative-bruce-lee-cd4991-700,Yellow,https://image.goat.com/750/attachments/product_template_pictures/images/046/355/077/original/628376_00.png.png,2020-11-24,2020,,good_condition,https://www.goat.com/sneakers/zoom-kobe-5-protro-alternative-bruce-lee-cd4991-700,Nike - Zoom Kobe 5 Protro,Nike - Zoom Kobe 5,Nike,Shop the Zoom Kobe 5 Protro ‘Bruce Lee’ and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Zoom Kobe 5 Protro ‘Bruce Lee’ brings back a beloved 2010 colorway inspired by the martial artist whose style and mindset informed Kobe Bryant’s play on the hardwood. The yellow and black design — complete with red scratch marks on the lateral forefoot — give the nod to Bruce Lee’s jumpsuit from his iconic film ‘Enter the Dragon.’ In terms of performance, the lightweight build utilizes Nike’s Flywire technology throughout the upper, supported by a foam midsole housing a large-volume Zoom Air unit in the forefoot.",N,N,N,N
Zoom Kobe Venomenon 5 'Black',749884 001,zoom-kobe-venomenon-5-749884-001,Black,https://image.goat.com/750/attachments/product_template_pictures/images/080/153/950/original/296002_00.png.png,2015-01-03,2015,,no_original_box,https://www.goat.com/sneakers/zoom-kobe-venomenon-5-749884-001,Nike - Zoom Kobe Venomenon 5,Nike - Zoom Kobe Venomenon 5,Nike,Shop the Zoom Kobe Venomenon 5 'Black' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Zoom Kobe 6 'Think Pink',429659 601,zoom-kobe-6-429659-601,Pink,https://image.goat.com/750/attachments/product_template_pictures/images/045/596/705/original/25061_00.png.png,2011-08-26,2011,,badly_damaged,https://www.goat.com/sneakers/zoom-kobe-6-429659-601,Nike - Zoom Kobe 6,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 'Think Pink' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"In August 2011, Nike did its part to raise breast cancer awareness, donating all proceeds from a series of ‘Think Pink’ silhouettes including this Zoom Kobe 6. The “snakeskin” design is dressed in a bold Pinkfire hue with hits of metallic silver. A single pink ribbon logo at the heel of each shoe pays tribute to the cause and represents the strength of women worldwide.",N,N,N,N
