value,is_slotted,id,sku,slug,color,category,image_url,release_date,product_type,release_date_year,variation_id,discount_tag,box_condition,product_condition,count_for_product_condition,goat_url
Kobe 8 Protro 'Halo',False,1223929,FJ9364 100,kobe-8-protro-triple-white-fj9364-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/092/345/652/original/1223929_00.png.png,20230823,sneakers,2023,a360bc8f-0d5b-4966-807f-478660d401ad,under_retail,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-8-protro-triple-white-fj9364-100
Zoom Kobe 6 Protro 'Grinch',False,631511,CW2190 300,zoom-kobe-6-protro-grinch-cw2190-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/050/505/599/original/631511_00.png.png,20201224,sneakers,2020,23a19e22-41f1-486c-a577-63b470553558,,good_condition,new_no_defects,101,https://www.goat.com/sneakers/zoom-kobe-6-protro-grinch-cw2190-300
Zoom Kobe 6 Protro 'Reverse Grinch',False,1124766,FV4921 600,zoom-kobe-6-protro-reverse-grinch-fv4921-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/094/562/515/original/FV4921_600.png.png,20231216,sneakers,2023,0f6e4945-af0f-4777-8d5f-c61fdf8176ee,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-protro-reverse-grinch-fv4921-600
Zoom Kobe 6 Protro 'Mambacita Sweet Sixteen',False,773881,CW2190 002,zoom-kobe-6-protro-mamba-forever-cw2190-002,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/071/658/139/original/773881_00.png.png,20220501,sneakers,2022,f312b80d-1211-4e57-9072-92c45cf58eb8,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-protro-mamba-forever-cw2190-002
Undefeated x Zoom Kobe 5 Protro 'Hall Of Fame',False,672346,DA6809 700,undefeated-x-zoom-kobe-5-protro-hall-of-fame-da6809-700,gold,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/049/464/699/original/672346_00.png.png,20210512,sneakers,2021,1520b084-7666-42f2-a9a6-81dc063b6b18,,good_condition,new_no_defects,101,https://www.goat.com/sneakers/undefeated-x-zoom-kobe-5-protro-hall-of-fame-da6809-700
Zoom Kobe 5 Protro ‘Bruce Lee’,False,628376,CD4991 700,zoom-kobe-5-protro-alternative-bruce-lee-cd4991-700,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/046/355/077/original/628376_00.png.png,20201124,sneakers,2020,191e1246-efa1-4d7b-9cfb-c173e91170a0,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-protro-alternative-bruce-lee-cd4991-700
Zoom Kobe 6 Protro 'All Star',False,630772,DH9888 600,zoom-kobe-6-protro-all-star-dh9888-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/050/195/329/original/630772_00.png.png,20210315,sneakers,2021,cf3d4b5a-fcf9-408e-97ca-3593231711a7,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-protro-all-star-dh9888-600
Zoom Kobe 4 Protro 'Mambacita',False,1109126,FJ9363 100,zoom-kobe-4-protro-white-gold-emerald-fj9363-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/087/922/116/original/1109126_00.png,20230501,sneakers,2023,ad914f03-b9fd-4dba-b02d-69641d55fe35,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-4-protro-white-gold-emerald-fj9363-100
Kobe 11 'Fundamental',False,70411,836183 100,kobe-11-em-836183-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/001/188/043/original/836183_100.png,20160924,sneakers,2016,31e8639a-3972-45f3-856b-94654044c221,,good_condition,used,10,https://www.goat.com/sneakers/kobe-11-em-836183-100
Zoom Kobe 6 GS 'All Star - Orange County',False,24766,429913 800,kobe-6-gs-429913-800,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/033/021/original/429913_800.png.png,,sneakers,,5baf2ac8-dbfb-468d-aabf-b9602a130511,,no_original_box,used,2,https://www.goat.com/sneakers/kobe-6-gs-429913-800
Kobe 8 Protro GS 'Halo',False,1264215,FN0266 100,kobe-8-protro-gs-triple-white-fn0266-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/093/048/641/original/1264215_00.png.png,20230823,sneakers,2023,dbee6ebb-b84d-49f5-bc30-d30710661dcf,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-8-protro-gs-triple-white-fn0266-100
Zoom Kobe 5 Protro 'Big Stage',False,589625,CT8014 100,kobe-5-protro-big-stage-2020-ct8014-100,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/147/229/original/589625_00.png.png,20200823,sneakers,2020,4bcb804d-d306-4db4-bf61-7fa9ebea1955,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-5-protro-big-stage-2020-ct8014-100
Zoom Kobe Venomenon 5 'Black',False,296002,749884 001,zoom-kobe-venomenon-5-749884-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/153/950/original/296002_00.png.png,20150103,sneakers,2015,c3a06dfe-bb03-400c-b533-e1e36afd404e,,no_original_box,used,1,https://www.goat.com/sneakers/zoom-kobe-venomenon-5-749884-001
Kobe 11 GS 'TV',False,52674,822945 002,kobe-11-gs-tv-822945-002,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/586/193/original/822945_002.png.png,20160527,sneakers,2016,30b81993-ea26-4d57-aab9-4e1ed6058021,,no_original_box,used,1,https://www.goat.com/sneakers/kobe-11-gs-tv-822945-002
Zoom Kobe 5 Protro 'Alternate Bruce Lee',False,639895,CD4991 101,zoom-kobe-5-protro-alternate-bruce-lee-cd4991-101,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/266/654/original/639895_00.png.png,20201124,sneakers,2020,128d5811-920c-4e1a-8b3f-211085924122,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-protro-alternate-bruce-lee-cd4991-101
Zoom Kobe 6 Protro 'White Del Sol',False,635296,CW2190 100,zoom-kobe-6-protro-del-sol-cw2190-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/053/488/796/original/635296_00.png.png,20210614,sneakers,2021,71e68f3e-2f04-415a-80ac-b6795e198481,,good_condition,new_no_defects,101,https://www.goat.com/sneakers/zoom-kobe-6-protro-del-sol-cw2190-100
Kobe 8 'Challenge Red',False,13296,555035 600,kobe-8-system-challenge-red-555035-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/053/871/249/original/13296_00.png.png,20130615,sneakers,2013,8ad4dc52-b1c3-4497-af9e-2b92c4248b4a,,good_condition,used,9,https://www.goat.com/sneakers/kobe-8-system-challenge-red-555035-600
Zoom Kobe Venomenon 5 'University Gold',False,29279,749884 706,venomenon-5,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/066/251/766/original/29279_00.png.png,,sneakers,,a7c14ba2-2e56-4259-ae6d-b1014d8cfbb8,,no_original_box,used,1,https://www.goat.com/sneakers/venomenon-5
Kobe A.D. 'Chrome',False,100363,852425 110​,kobe-a-d-chrome-852425-110,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/002/084/293/original/852425_110%E2%80%8B.png,,sneakers,,9961ebf8-ce8a-4829-9dc6-bbc292dc884f,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-chrome-852425-110
Zoom Kobe 6 GS 'Concord',False,25505,429913 100,kobe-6-gs-429913-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/033/017/original/429913_100.png.png,,sneakers,,03c43758-7138-4bfc-bd67-27ae68539496,,no_original_box,used,1,https://www.goat.com/sneakers/kobe-6-gs-429913-100
Zoom Kobe 6 'Think Pink',False,25061,429659 601,zoom-kobe-6-429659-601,pink,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/045/596/705/original/25061_00.png.png,20110826,sneakers,2011,25f15db6-388d-4ee2-b865-675a8995e9b9,,badly_damaged,used,3,https://www.goat.com/sneakers/zoom-kobe-6-429659-601
Zoom Kobe 5 Protro 'EYBL',False,651439,CD4991 300,zoom-kobe-5-protro-eybl-cd4991-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/179/184/original/651439_00.png.png,20200829,sneakers,2020,fa894b9b-dab3-4370-a569-4ad5f2fe561d,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-protro-eybl-cd4991-300
Undefeated x Zoom Kobe 5 Protro 'What If Pack' Special Box,False,672783,DB5551 900,undefeated-x-zoom-kobe-5-protro-what-if-pack-special-box-undft-kobe-5-what-if-pack,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/057/273/955/original/672783_00.png.png,20200827,sneakers,2020,0bcb27eb-84aa-432d-9ff7-82e8bc6e449d,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/undefeated-x-zoom-kobe-5-protro-what-if-pack-special-box-undft-kobe-5-what-if-pack
