value,is_slotted,id,sku,slug,color,category,image_url,product_type,release_date,release_date_year,variation_id,box_condition,used_image_url,cheapest_product,product_condition,count_for_product_condition,goat_url
Zoom Kobe 6 Protro 'Grinch',False,631511,CW2190 300,zoom-kobe-6-protro-grinch-cw2190-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/050/505/599/original/631511_00.png.png,sneakers,20201224,2020,23a19e22-41f1-486c-a577-63b470553558,good_condition,https://image.goat.com/attachments/product_outer_pictures/images/054/245/410/square/temp1620263090.jpeg?1620263090,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/245/410/square/temp1620263090.jpeg?1620263090""}",new_no_defects,101,https://www.goat.com/sneakers/zoom-kobe-6-protro-grinch-cw2190-300
Zoom Kobe 4 Protro 'Mambacita',False,1109126,FJ9363 100,zoom-kobe-4-protro-white-gold-emerald-fj9363-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/087/922/116/original/1109126_00.png,sneakers,20230501,2023,bc1f7645-89f5-4edd-92a9-fc80174f2625,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-4-protro-white-gold-emerald-fj9363-100
Undefeated x Zoom Kobe 5 Protro 'Hall Of Fame',False,672346,DA6809 700,undefeated-x-zoom-kobe-5-protro-hall-of-fame-da6809-700,gold,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/049/464/699/original/672346_00.png.png,sneakers,20210512,2021,1520b084-7666-42f2-a9a6-81dc063b6b18,good_condition,https://image.goat.com/attachments/product_outer_pictures/images/054/550/205/square/temp1620845833.jpeg?1620845833,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/550/205/square/temp1620845833.jpeg?1620845833""}",new_no_defects,101,https://www.goat.com/sneakers/undefeated-x-zoom-kobe-5-protro-hall-of-fame-da6809-700
Zoom Kobe 5 Protro ‘Bruce Lee’,False,628376,CD4991 700,zoom-kobe-5-protro-alternative-bruce-lee-cd4991-700,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/046/355/077/original/628376_00.png.png,sneakers,20201124,2020,2b8498a7-82bb-4fe6-b64b-6fb68717cfed,good_condition,https://image.goat.com/attachments/product_outer_pictures/images/053/723/019/square/temp1619335028.jpeg?1619335028,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/053/723/019/square/temp1619335028.jpeg?1619335028""}",new_no_defects,90,https://www.goat.com/sneakers/zoom-kobe-5-protro-alternative-bruce-lee-cd4991-700
Zoom Kobe 6 Protro 'Mambacita Sweet Sixteen',False,773881,CW2190 002,zoom-kobe-6-protro-mamba-forever-cw2190-002,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/071/658/139/original/773881_00.png.png,sneakers,20220501,2022,f40410c4-7d33-4ac4-8dda-955ec8b87641,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-protro-mamba-forever-cw2190-002
Kobe Mentality 'Black Red',False,348702,704942 009,kobe-mentality-704942-009,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/011/202/289/original/704942_009.png.png,sneakers,20170615,2017,6e63dfa6-71c5-48ea-9541-2d6ea35e71e1,no_original_box,https://image.goat.com/attachments/product_outer_pictures/images/072/618/848/square/temp1653373892.jpeg?1653373892,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/072/618/848/square/temp1653373892.jpeg?1653373892""}",used,3,https://www.goat.com/sneakers/kobe-mentality-704942-009
Zoom Kobe 6 'Think Pink',False,25061,429659 601,zoom-kobe-6-429659-601,pink,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/045/596/705/original/25061_00.png.png,sneakers,20110826,2011,4a7db4c7-ee2e-456f-a267-6e1ee663f89c,badly_damaged,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-429659-601
Zoom Kobe 7 System TB 'Black',False,72162,517359 005,zoom-kobe-7-system-tb-517359-005,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/049/528/494/original/517359_005.png.png,sneakers,20120918,2012,790377e6-13ae-4d93-84d8-ff058f179def,no_original_box,https://image.goat.com/attachments/product_outer_pictures/images/078/570/412/square/temp1663889420.jpeg?1663889420,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/078/570/412/square/temp1663889420.jpeg?1663889420""}",used,3,https://www.goat.com/sneakers/zoom-kobe-7-system-tb-517359-005
Zoom Kobe 6 GS 'Concord',False,25505,429913 100,kobe-6-gs-429913-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/033/017/original/429913_100.png.png,sneakers,,,03c43758-7138-4bfc-bd67-27ae68539496,no_original_box,https://image.goat.com/attachments/product_outer_pictures/images/064/648/859/square/temp1639363767.jpeg?1639363767,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/064/648/859/square/temp1639363767.jpeg?1639363767""}",used,2,https://www.goat.com/sneakers/kobe-6-gs-429913-100
Zoom Kobe Venomenon 5 'Black',False,296002,749884 001,zoom-kobe-venomenon-5-749884-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/153/950/original/296002_00.png.png,sneakers,20150103,2015,aae239d5-8743-4340-8ce8-c42ff9c88539,good_condition,https://image.goat.com/attachments/product_outer_pictures/images/088/647/803/square/temp1684647690.jpeg?1684647690,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/088/647/803/square/temp1684647690.jpeg?1684647690""}",used,4,https://www.goat.com/sneakers/zoom-kobe-venomenon-5-749884-001
