@context,@type,name,image,releaseDate,brand,model,sku,color,description,goat_url
http://schema.org,Product,Zoom Kobe 6 Protro 'Grinch',['https://image.goat.com/750/attachments/product_template_pictures/images/050/505/599/original/631511_00.png.png'],2020-12-24T23:59:59.999Z,Nike,Zoom Kobe 6 Protro 'Grinch',CW2190 300,Green Apple/Volt/Crimson/Black,"The Nike Zoom Kobe 6 Protro ‘Grinch’ brings back a beloved colorway initially released in 2010 as part of the Nike Basketball Christmas Day Collection. Updated with contemporary Zoom Air cushioning technology, the sneaker features the eye-catching aesthetic of the original, highlighted by a vibrant green finish on the upper. Polyurethane ‘islands’ cover the synthetic upper, mimicking the texture of snakeskin while also providing added durability.",https://www.goat.com/sneakers/zoom-kobe-6-protro-grinch-cw2190-300
http://schema.org,Product,Zoom Kobe 6 Protro 'Mambacita Sweet Sixteen',['https://image.goat.com/750/attachments/product_template_pictures/images/071/658/139/original/773881_00.png.png'],2022-05-01T23:59:59.999Z,Nike,Zoom Kobe 6 Protro 'Mambacita Sweet Sixteen',CW2190 002,Black/White,"The Nike Kobe 6 Protro 'Mambacita Sweet Sixteen' pays tribute to Kobe Bryant and his daughter Gigi. Black snake scales on the upper reference Bryant's Black Mamba alter ego. Notes of white appear on the Swoosh, tongue logo and leather back panels. The heel mold swaps out the traditional Kobe signature for the Mamba & Mambacita Sports Foundation crest, with ""Kobe"" and ""Gigi"" inscribed on the left and right shoe, respectively. A gilded ""2"" on the lateral window represents Gigi's AAU uniform number. The insoles further honor Gigi with a design that features angel wings, a halo, the nickname ""Mambacita"" and another ""2.""

GOAT is donating net proceeds on the sale of this item to organizations providing under-resourced communities with footwear.",https://www.goat.com/sneakers/zoom-kobe-6-protro-mamba-forever-cw2190-002
http://schema.org,Product,Undefeated x Zoom Kobe 5 Protro 'Hall Of Fame',['https://image.goat.com/750/attachments/product_template_pictures/images/049/464/699/original/672346_00.png.png'],2021-05-12T23:59:59.999Z,Nike,Undefeated x Zoom Kobe 5 Protro 'Hall Of Fame',DA6809 700,,"The Undefeated x Nike Zoom Kobe 5 Protro ‘Hall of Fame’ celebrates Kobe Bryant’s induction into the Naismith Memorial Basketball Hall of Fame. As a nod to the Mamba’s championship pedigree, a metallic gold finish coats the upper, crafted from breathable mesh with snakeskin-textured leather overlays. Each shoe is accented with a purple Swoosh on the right side panel and a mismatched pink Swoosh on the left. Specific to the left shoe, the pink Swoosh is inscribed with the numbers 24, 10 and 8, representing the jersey numbers that Kobe wore with the Lakers and Team USA. Additional mismatched branding lands on the tongue and heel, both featuring Kobe’s personal trademark and Undefeated’s Five Strikes logo.",https://www.goat.com/sneakers/undefeated-x-zoom-kobe-5-protro-hall-of-fame-da6809-700
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,"Debuted in 2011, the Zoom Kobe 6 is distinguished by the bold serpentine texture adorning its low-cut upper. In addition to a debossed “VENOMENON” logo on the toe, the metallic silver snake-like pattern is accentuated by white details like Kobe’s Shozoku logo on the tongue, side Swooshes, and heel signatures. Performance features include Flywire technology for a custom fit and a midsole with Zoom Air in the heel and forefoot for responsiveness.",https://www.goat.com/sneakers/zoom-kobe-6-429659-012
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,"The Kobe 7 System is coated with a black construction that features a synthetic skin design, modeled after leopard, great white shark and black mamba patterns. The midsole integrates a full-length Cushlon midsole unit that works in conjunction with Zoom Air units, while Flywire cables are included for a locked-down fit.",https://www.goat.com/sneakers/zoom-kobe-7-system-tb-517359-005
http://schema.org,Product,Zoom Kobe 5 Protro ‘Bruce Lee’,['https://image.goat.com/750/attachments/product_template_pictures/images/046/355/077/original/628376_00.png.png'],2020-11-24T23:59:59.999Z,Nike,Zoom Kobe 5 Protro ‘Bruce Lee’,CD4991 700,Del Sol/ Metallic Silver/Comet Red/Black,"The Nike Zoom Kobe 5 Protro ‘Bruce Lee’ brings back a beloved 2010 colorway inspired by the martial artist whose style and mindset informed Kobe Bryant’s play on the hardwood. The yellow and black design — complete with red scratch marks on the lateral forefoot — give the nod to Bruce Lee’s jumpsuit from his iconic film ‘Enter the Dragon.’ In terms of performance, the lightweight build utilizes Nike’s Flywire technology throughout the upper, supported by a foam midsole housing a large-volume Zoom Air unit in the forefoot.",https://www.goat.com/sneakers/zoom-kobe-5-protro-alternative-bruce-lee-cd4991-700
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,"The first colorway of Nike’s Kobe 10 to be released, the ‘5AM Flight’ memorializes Bryant’s early morning leap off of a 40-foot diving board, made famous on the video platform Vine. The most obvious nod to the event comes via the Blue Lagoon that covers the knit upper and translucent outsole, the latter revealing a white midsole. A gold ‘X’ is emblazoned on the bottom of the sole, with Kobe’s signature appearing across the tongue in red.",https://www.goat.com/sneakers/kobe-x-kids-basketball-shoe-726067-403
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,"The Nike Kobe 11 GS ‘Team USA’ launched in July 2016 in anticipation of the Rio Summer Olympics the following month. Constructed with a lightweight knit build, the low-top is finished in a patriotic red, white and blue color scheme. Nods to Kobe Bryant arrive on the heels, including four stitch marks on the left heel as an allusion to the four feet of sutures used in Bryant’s 2013 Achilles surgery. The numbers ‘08’ and ‘12’ are embroidered on the right heel, representing the Olympic years in which Kobe won gold medals with the US Men’s National Team.",https://www.goat.com/sneakers/kobe-11-gs-team-usa-822945-184
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,"The Nike Zoom Kobe 6 plays off Kobe Bryant’s Black Mamba persona with a white and grey upper that evokes a textured 3D snakeskin. A contrasting black Swoosh is complemented by matching black on the molded heel counter and Phylon injected midsole, fitted with encapsulated Zoom Air units for cushioning. Inside the low-top, a dual-layer memory foam sockliner provides a custom fit.",https://www.goat.com/sneakers/zoom-kobe-6-429659-103
http://schema.org,Product,Kobe A.D. 'Purple Stardust',['https://image.goat.com/750/attachments/product_template_pictures/images/078/444/462/original/164172_00.png.png'],2017-07-01T23:59:59.000Z,Nike,Kobe A.D. 'Purple Stardust',852425 500,Purple Stardust/Black,"Emerging in a new colorway with Los Angeles Lakers DNA, the Nike Kobe A.D. features a ‘Purple Stardust’ colorway with a mesh upper. Blocked with tonal suede paneling on the heel, the design is contrasted with a black outsole and branding, while the midsole is displayed with a detailed speckle pattern. The insole is stamped with yellow Mamba logos to complete the look.",https://www.goat.com/sneakers/kobe-a-d-purple-stardust-852425-500
