value,is_slotted,id,sku,slug,color,category,image_url,product_type,variation_id,product_condition,count_for_product_condition,goat_url
Mamba Fury 'White Metallic Gold',False,656114,CZ8770 100,mamba-fury-white-metallic-gold-cz8770-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/049/508/406/original/656114_00.png.png,sneakers,9fadae9a-d58e-4746-bd3f-a77c31ed4c65,new_no_defects,0,https://www.goat.com/sneakers/mamba-fury-white-metallic-gold-cz8770-100
Mamba Fury 'Bruce Lee',False,618329,CK2087 002,mamba-fury-bruce-lee-ck2087-002,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/042/281/867/original/618329_00.png.png,sneakers,76a8b8a2-75e2-4dfd-ad02-3aee7f5e4ca2,new_no_defects,0,https://www.goat.com/sneakers/mamba-fury-bruce-lee-ck2087-002
Mamba Fury 'Snakeskin - Black Smoke Grey',False,634228,CK2087 001,mamba-fury-snakeskin-black-smoke-grey-ck2087-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/051/226/848/original/634228_00.png.png,sneakers,3116bbe8-c766-4adb-9bd4-c6345733a7fc,new_no_defects,0,https://www.goat.com/sneakers/mamba-fury-snakeskin-black-smoke-grey-ck2087-001
Mamba Fury 'White Wolf Grey',False,635531,CK2087 100,mamba-fury-white-wolf-grey-ck2087-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/047/469/904/original/635531_00.png.png,sneakers,98da5e99-3e08-4d96-a817-aac8dcb04ad8,new_no_defects,0,https://www.goat.com/sneakers/mamba-fury-white-wolf-grey-ck2087-100
Mamba Fury Team 'Gym Red',False,676663,CK6632 600,mamba-fury-team-gym-red-ck6632-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/056/530/407/original/676663_00.png.png,sneakers,dfbef190-0ca4-43da-b835-dcacfac131f4,new_no_defects,0,https://www.goat.com/sneakers/mamba-fury-team-gym-red-ck6632-600
Mamba Fury Team 'Cool Grey',False,676665,CK6632 001,mamba-fury-team-cool-grey-ck6632-001,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/052/164/815/original/676665_00.png.png,sneakers,9c6d9624-bdcd-4e9e-b957-10a475ea8080,new_no_defects,0,https://www.goat.com/sneakers/mamba-fury-team-cool-grey-ck6632-001
Mamba Fury Team 'Midnight Navy',False,676664,CK6632 400,mamba-fury-team-midnight-navy-ck6632-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/043/179/538/original/676664_00.png.png,sneakers,b9acf596-7417-41b6-aa27-31f9ab6c9d8f,new_no_defects,0,https://www.goat.com/sneakers/mamba-fury-team-midnight-navy-ck6632-400
Mamba Fury Team 'Hyper Royal',False,676667,CK6632 401,mamba-fury-team-hyper-royal-ck6632-401,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/064/861/559/original/676667_00.png.png,sneakers,431f4808-89e4-41c8-9a34-129feef21927,new_no_defects,0,https://www.goat.com/sneakers/mamba-fury-team-hyper-royal-ck6632-401
Mamba Fury EP 'Black Racer Blue',False,701825,CK2088 004,mamba-fury-ep-black-racer-blue-ck2088-004,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/063/954/104/original/701825_00.png.png,sneakers,917970af-e6d9-4ca3-8968-958ea35e3eb5,new_no_defects,12,https://www.goat.com/sneakers/mamba-fury-ep-black-racer-blue-ck2088-004
Mamba Fury 'Lakers Home',False,657543,CK2087 101,mamba-fury-lakers-home-ck2087-101,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/043/508/300/original/657543_00.png.png,sneakers,fa1c27fb-9d44-4979-9ae0-32f29d60e56b,new_no_defects,0,https://www.goat.com/sneakers/mamba-fury-lakers-home-ck2087-101
