@context,@type,name,image,releaseDate,brand,model,sku,color,description,goat_url
http://schema.org,Product,Mamba Fury 'White Metallic Gold',['https://image.goat.com/750/attachments/product_template_pictures/images/049/508/406/original/656114_00.png.png'],,Nike,Mamba Fury 'White Metallic Gold',CZ8770 100,White/Metallic Gold/Black,,https://www.goat.com/sneakers/mamba-fury-white-metallic-gold-cz8770-100
http://schema.org,Product,Mamba Fury 'Bruce Lee',['https://image.goat.com/750/attachments/product_template_pictures/images/042/281/867/original/618329_00.png.png'],2020-08-06T23:59:59.999Z,Nike,Mamba Fury 'Bruce Lee',CK2087 002,Black/University Red,"The Nike Mamba Fury ‘Bruce Lee’ delivers an alternate take on the classic Kobe 5 colorway inspired by the martial arts film star. The black textile upper is accented with a red Swoosh, its scaly texture extending up the sneaker’s side panel. Additional pops of University Red appear on the tongue, TPU heel clip and integrated lace loops. A forefoot Zoom Air unit is embedded in the foam midsole, reinforced by black and yellow rubber outsole with a snakeskin-inspired traction pattern.",https://www.goat.com/sneakers/mamba-fury-bruce-lee-ck2087-002
http://schema.org,Product,Mamba Fury 'Snakeskin - Black Smoke Grey',['https://image.goat.com/750/attachments/product_template_pictures/images/051/226/848/original/634228_00.png.png'],2020-04-15T23:59:59.999Z,Nike,Mamba Fury 'Snakeskin - Black Smoke Grey',CK2087 001,Black/Smoke Grey/White,"The Nike Mamba Fury ‘Black Smoke Grey’ applies a neutral color scheme to a low-profile hoops shoe built for speed and mobility. A reptilian texture distinguishes the textile upper, which sits atop a scaly midsole fitted with a Zoom Air unit in the forefoot. Kobe Bryant’s sheath logo adorns the tongue, heel and rubber outsole, the latter featuring a snakeskin-inspired traction pattern for enhanced grip on the hardwood.",https://www.goat.com/sneakers/mamba-fury-snakeskin-black-smoke-grey-ck2087-001
http://schema.org,Product,Mamba Fury 'White Wolf Grey',['https://image.goat.com/750/attachments/product_template_pictures/images/047/469/904/original/635531_00.png.png'],2020-05-22T23:59:59.999Z,Nike,Mamba Fury 'White Wolf Grey',CK2087 100,White/Wolf Grey/Pure Platinum,,https://www.goat.com/sneakers/mamba-fury-white-wolf-grey-ck2087-100
http://schema.org,Product,Mamba Fury Team 'Gym Red',['https://image.goat.com/750/attachments/product_template_pictures/images/056/530/407/original/676663_00.png.png'],2020-08-25T23:59:59.999Z,Nike,Mamba Fury Team 'Gym Red',CK6632 600,University Red/Gym Red/White/Black,,https://www.goat.com/sneakers/mamba-fury-team-gym-red-ck6632-600
http://schema.org,Product,Mamba Fury Team 'Cool Grey',['https://image.goat.com/750/attachments/product_template_pictures/images/052/164/815/original/676665_00.png.png'],2020-08-25T23:59:59.999Z,Nike,Mamba Fury Team 'Cool Grey',CK6632 001,Cool Grey/Wolf Grey/White/Black,,https://www.goat.com/sneakers/mamba-fury-team-cool-grey-ck6632-001
http://schema.org,Product,Mamba Fury Team 'Midnight Navy',['https://image.goat.com/750/attachments/product_template_pictures/images/043/179/538/original/676664_00.png.png'],2020-08-25T23:59:59.999Z,Nike,Mamba Fury Team 'Midnight Navy',CK6632 400,Midnight Navy/White/Ashen Slate,,https://www.goat.com/sneakers/mamba-fury-team-midnight-navy-ck6632-400
http://schema.org,Product,Mamba Fury Team 'Hyper Royal',['https://image.goat.com/750/attachments/product_template_pictures/images/064/861/559/original/676667_00.png.png'],2020-08-25T23:59:59.999Z,Nike,Mamba Fury Team 'Hyper Royal',CK6632 401,Deep Royal Blue/Hyper Royal/White,,https://www.goat.com/sneakers/mamba-fury-team-hyper-royal-ck6632-401
http://schema.org,Product,Mamba Fury EP 'Black Racer Blue',['https://image.goat.com/750/attachments/product_template_pictures/images/063/954/104/original/701825_00.png.png'],2020-10-20T23:59:59.999Z,Nike,Mamba Fury EP 'Black Racer Blue',CK2088 004,Black/Gym Red/Obsidian/Racer Blue,,https://www.goat.com/sneakers/mamba-fury-ep-black-racer-blue-ck2088-004
http://schema.org,Product,Mamba Fury 'Lakers Home',['https://image.goat.com/750/attachments/product_template_pictures/images/043/508/300/original/657543_00.png.png'],2020-07-01T23:59:59.999Z,Nike,Mamba Fury 'Lakers Home',CK2087 101,White/Field Purple/Amarillo/Light Smoke Grey,,https://www.goat.com/sneakers/mamba-fury-lakers-home-ck2087-101
http://schema.org,Product,Mamba Fury 'Lakers Away',['https://image.goat.com/750/attachments/product_template_pictures/images/047/734/962/original/657545_00.png'],2020-07-01T23:59:59.999Z,Nike,Mamba Fury 'Lakers Away',CK2087 003,Black/Psychic Purple/Lemon Venom,,https://www.goat.com/sneakers/mamba-fury-lakers-away-ck2087-003
http://schema.org,Product,Mamba Fury EP 'Bruce Lee',['https://image.goat.com/750/attachments/product_template_pictures/images/037/295/589/original/CK2088_002.png.png'],,Nike,Mamba Fury EP 'Bruce Lee',CK2088 002,Black/University Red,,https://www.goat.com/sneakers/mamba-fury-ep-bruce-lee-ck2088-002
