@context,@type,name,image,releaseDate,brand,model,sku,color,description,goat_url
http://schema.org,Product,Mamba Instinct 'Pure Platinum',['https://image.goat.com/750/attachments/product_template_pictures/images/057/350/707/original/174883_00.png.png'],2017-01-12T23:59:59.999Z,Nike,Mamba Instinct 'Pure Platinum',852473 002,Pure Platinum/White-Cool Grey,"Kobe Bryant has been nicknamed the Black Mamba because of his unquestionable speed and for the passion that seeps into every single one of his games. Inspired by his agility, the Mamba Instinct 'Pure Platinum' features a Flyweave upper in a Cool Grey color scheme with Pure Platinum overlays on the tongue, side Swoosh, eyestay, laces, and toe cap. The sneaker also boasts a drop-in Lunar foam midsole for responsive cushioning and an engineered rubber outsole for superior traction.",https://www.goat.com/sneakers/mamba-instinct-852473-002
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Mamba Instinct 'Black' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/kobe-mamba-instinct-852473-010
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Mamba Instinct 'White' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/mamba-instinct-852473-100
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Mamba Instinct 'Fierce Purple' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/mamba-instinct-852473-500
http://schema.org,Product,Mamba Instinct 'Dark Grey',['https://image.goat.com/750/attachments/product_template_pictures/images/003/783/631/original/852473_001.png.png'],2016-12-21T23:59:59.000Z,Nike,Mamba Instinct 'Dark Grey',852473 001,Dark Grey/Anthracite-Cool Grey-Black,"In addition to its low profile and Lunarlon-cushioned midsole, the Nike Mamba Instinct is marked by a unique graphic design on its breathable Flyweave upper. The jacquard-like effect, rendered here in dark grey and white against a black backdrop, is complemented by PU threading for lightweight reinforcement. Underfoot, the thin rubber outsole is finished with a multidirectional traction pattern.",https://www.goat.com/sneakers/kobe-mamba-instinct-852473-001
http://schema.org,Product,Mamba Instinct EP 'University Red',['https://image.goat.com/750/attachments/product_template_pictures/images/066/735/218/original/485286_00.png.png'],,Nike,Mamba Instinct EP 'University Red',884445 016,Black/University Red,,https://www.goat.com/sneakers/mamba-instinct-ep-university-red-884445-016
http://schema.org,Product,Mamba Instinct 'University Red',['https://image.goat.com/750/attachments/product_template_pictures/images/006/713/779/original/852473_016.png.png'],,Nike,Mamba Instinct 'University Red',852473 016,Black/University Red,"Inspired by the Mamba’s mentality on the court, the Kobe Mamba Instinct sneaker brings performance features together in a low, lightweight package built for speed. Released in June 2017, the University Red and black edition features a Flyweave upper atop a Lunarlon midsole.",https://www.goat.com/sneakers/kobe-mamba-instinct-852473-016
http://schema.org,Product,Mamba Instinct 'Dark Grey',['https://image.goat.com/750/attachments/product_template_pictures/images/007/683/074/original/852473_017.png.png'],,Nike,Mamba Instinct 'Dark Grey',852473 017,Black/Dark Grey-Dynamic Yellow-White,,https://www.goat.com/sneakers/mamba-instinct-852473-017
http://schema.org,Product,Mamba Instinct 'Anthracite',['https://image.goat.com/750/attachments/product_template_pictures/images/047/050/597/original/176843_00.png.png'],2018-05-05T00:00:00.000Z,Nike,Mamba Instinct 'Anthracite',852473 006,Anthracite/Black,"Part of an inaugural quartet of colorways to introduce the Nike Mamba Instinct, the Nike Mamba Instinct 'Anthracite' sneaker is an OG model that dropped in January 2017. With a mix of Anthracite and Black hues, this low-top sneaker sports a seamless Flyweave upper with a graphic jacquard print woven throughout. The shoe features a silver Swoosh on the sidewall, a Black Mamba logo on the tongue and is finished with a full-length Lunarlon sole unit.",https://www.goat.com/sneakers/mamba-instinct-852473-006
http://schema.org,Product,Mamba Instinct EP 'Blue',['https://image.goat.com/750/attachments/product_template_pictures/images/074/925/989/original/884445_400.png.png'],,Nike,Mamba Instinct EP 'Blue',884445 400,Blue/White,,https://www.goat.com/sneakers/mamba-instinct-ep-blue-884445-400
http://schema.org,Product,Mamba Instinct 'Dust',['https://image.goat.com/750/attachments/product_template_pictures/images/015/239/063/original/852473_003.png.png'],,Nike,Mamba Instinct 'Dust',852473 003,Dust/Electrolime-Pure Platinum-Anthracite,,https://www.goat.com/sneakers/mamba-instinct-dust-852473-003
http://schema.org,Product,Mamba Instinct EP,['https://image.goat.com/750/attachments/product_template_pictures/images/014/278/063/original/884445_001.png.png'],,Nike,Mamba Instinct EP,884445 001,Dark Grey/Black-Wolf Grey,,https://www.goat.com/sneakers/mamba-instinct-ep-884445-001
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Mamba Instinct 'Turbo Green' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/mamba-instinct-turbo-green-852473-300
http://schema.org,Product,Mamba Instinct 'Blue',['https://image.goat.com/750/attachments/product_template_pictures/images/011/708/314/original/852473_400.png.png'],2017-11-01T23:59:59.999Z,Nike,Mamba Instinct 'Blue',852473 400,Blue/White,,https://www.goat.com/sneakers/mamba-instinct-852473-400
http://schema.org,Product,Mamba Instinct 'Team Red',['https://image.goat.com/750/attachments/product_template_pictures/images/007/387/096/original/852473_600.png.png'],,Nike,Mamba Instinct 'Team Red',852473 600,Team Red/Black-University Red-White,,https://www.goat.com/sneakers/mamba-instinct-852473-600
http://schema.org,Product,Mamba Instinct EP 'Wolf Grey',['https://image.goat.com/750/attachments/product_template_pictures/images/029/226/892/original/884445_010.png.png'],2017-06-09T23:59:59.999Z,Nike,Mamba Instinct EP 'Wolf Grey',884445 010,Black/White/Wolf Grey,,https://www.goat.com/sneakers/mamba-instinct-ep-wolf-grey-884445-010
http://schema.org,Product,Mamba Instinct EP 'Turbo Green',['https://image.goat.com/750/attachments/product_template_pictures/images/017/664/959/original/884445_300.png.png'],,Nike,Mamba Instinct EP 'Turbo Green',884445 300,Turbo Green/White-Black-Igloo,,https://www.goat.com/sneakers/mamba-instinct-ep-turbo-green-884445-300
http://schema.org,Product,Mamba Instinct 'Chlorine Blue',['https://image.goat.com/750/attachments/product_template_pictures/images/011/708/315/original/852473_401.png.png'],,Nike,Mamba Instinct 'Chlorine Blue',852473 401,chlorine blue/industrial blue-blue-tint black,,https://www.goat.com/sneakers/kobe-mamba-instinct-852473-401
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Mamba Instinct 'Cool Grey' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/mamba-instinct-cool-grey-852473-022
